amount,pmb,image,gnd,schnitzler_bahr,legalkraus,wikidata,wikipedia,schnitzler_interviews,schnitzler_tagebuch,wienerschnitzler,schnitzler_briefe,schnitzler_kultur,semantickraus,lat,lng,name
16092,https://pmb.acdh.oeaw.ac.at/entity/50/,False,https://d-nb.info/gnd/4066009-6,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb50.html,https://kraus.wienbibliothek.at/register/orte/pmb50,http://www.wikidata.org/entity/Q1741,https://de.wikipedia.org/wiki/Wien,https://schnitzler-interviews.acdh.oeaw.ac.at/pmb50.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb50.html,https://wienerschnitzler.org/pmb50.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb50.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb50.html,https://sk.acdh.oeaw.ac.at/DWplace00085,48.208333,16.373056,Wien
463,https://pmb.acdh.oeaw.ac.at/entity/213/,False,https://d-nb.info/gnd/4027718-5,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb213.html,https://kraus.wienbibliothek.at/register/orte/pmb213,http://www.wikidata.org/entity/Q250984,https://de.wikipedia.org/wiki/Bad_Ischl,https://schnitzler-interviews.acdh.oeaw.ac.at/pmb213.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb213.html,https://wienerschnitzler.org/pmb213.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb213.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb213.html,https://sk.acdh.oeaw.ac.at/fa_place00004081,47.71109,13.61893,Bad Ischl
373,https://pmb.acdh.oeaw.ac.at/entity/168/,False,https://d-nb.info/gnd/4005728-8,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb168.html,https://kraus.wienbibliothek.at/register/orte/pmb168,http://www.wikidata.org/entity/Q64,https://de.wikipedia.org/wiki/Berlin,https://schnitzler-interviews.acdh.oeaw.ac.at/pmb168.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb168.html,https://wienerschnitzler.org/pmb168.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb168.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb168.html,https://sk.acdh.oeaw.ac.at/fa_place00004523,52.52437,13.41053,Berlin
237,https://pmb.acdh.oeaw.ac.at/entity/189/,False,https://d-nb.info/gnd/4054504-0,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb189.html,,http://www.wikidata.org/entity/Q659891,https://de.wikipedia.org/wiki/Semmering_(Nieder%C3%B6sterreich),https://schnitzler-interviews.acdh.oeaw.ac.at/pmb189.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb189.html,https://wienerschnitzler.org/pmb189.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb189.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb189.html,https://sk.acdh.oeaw.ac.at/fa_place00005133,47.64224,15.8241,Semmering
202,https://pmb.acdh.oeaw.ac.at/entity/483/,False,https://d-nb.info/gnd/4206827-7,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb483.html,,http://www.wikidata.org/entity/Q665243,https://de.wikipedia.org/wiki/Reichenau_an_der_Rax,https://schnitzler-interviews.acdh.oeaw.ac.at/pmb483.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb483.html,https://wienerschnitzler.org/pmb483.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb483.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb483.html,https://sk.acdh.oeaw.ac.at/fa_place00002118,47.7,15.83333,Reichenau an der Rax
189,https://pmb.acdh.oeaw.ac.at/entity/34401/,False,https://d-nb.info/gnd/4464879-0,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb34401.html,,http://www.wikidata.org/entity/Q262951,https://de.wikipedia.org/wiki/Altaussee,,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb34401.html,https://wienerschnitzler.org/pmb34401.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb34401.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb34401.html,https://sk.acdh.oeaw.ac.at/fa_place00002541,47.639444,13.763333,Altaussee
183,https://pmb.acdh.oeaw.ac.at/entity/75/,False,https://d-nb.info/gnd/4329466-2,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb75.html,,http://www.wikidata.org/entity/Q664735,https://de.wikipedia.org/wiki/Hinterbr%C3%BChl,,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb75.html,https://wienerschnitzler.org/pmb75.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb75.html,,https://sk.acdh.oeaw.ac.at/fa_place00005174,48.08611,16.24809,Hinterbrühl
176,https://pmb.acdh.oeaw.ac.at/entity/45258/,False,https://d-nb.info/gnd/4127793-4,,https://kraus.wienbibliothek.at/register/orte/pmb45258,http://www.wikidata.org/entity/Q1726,https://de.wikipedia.org/wiki/M%C3%BCnchen,https://schnitzler-interviews.acdh.oeaw.ac.at/pmb45258.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb45258.html,https://wienerschnitzler.org/pmb45258.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb45258.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb45258.html,https://sk.acdh.oeaw.ac.at/fa_place00000329,48.13743,11.57549,München
170,https://pmb.acdh.oeaw.ac.at/entity/30/,False,https://d-nb.info/gnd/4076982-3,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb30.html,https://kraus.wienbibliothek.at/register/orte/pmb30,http://www.wikidata.org/entity/Q34713,https://de.wikipedia.org/wiki/Salzburg,https://schnitzler-interviews.acdh.oeaw.ac.at/pmb30.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb30.html,https://wienerschnitzler.org/pmb30.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb30.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb30.html,https://sk.acdh.oeaw.ac.at/pmb30,47.80067,13.04532,Salzburg
138,https://pmb.acdh.oeaw.ac.at/entity/662/,False,https://d-nb.info/gnd/4004168-2,https://schnitzler-bahr.acdh.oeaw.ac.at/pmb662.html,https://kraus.wienbibliothek.at/register/orte/pmb662,http://www.wikidata.org/entity/Q486450,https://de.wikipedia.org/wiki/Baden_(Nieder%C3%B6sterreich),https://schnitzler-interviews.acdh.oeaw.ac.at/pmb662.html,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pmb662.html,https://wienerschnitzler.org/pmb662.html,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb662.html,https://schnitzler-kultur.acdh.oeaw.ac.at/pmb662.html,https://sk.acdh.oeaw.ac.at/pmb662,48.00543,16.23264,Baden bei Wien
