idx_from,from,idx_to,to,km_per_day,threshold,date_from,date_to
244,Frankfurt am Main,245,Wien,599,300,1879-08-30,1879-08-31
272,Mainz,273,Scheveningen,366,300,1879-09-13,1879-09-14
275,München,276,Mainz,316,300,1879-09-14,1879-09-15
1393,Wien,1394,Ragaz,533,300,1882-07-30,1882-07-31
2048,Wien,2049,Fiume,352,300,1884-04-09,1884-04-10
2060,Abbazia,2061,Wien,355,300,1884-04-15,1884-04-16
2928,Thalhof,2929,Meran,373,300,1886-03-27,1886-03-28
2931,Thalhof,2932,Meran,373,300,1886-03-28,1886-03-29
2934,Thalhof,2935,Meran,373,300,1886-03-29,1886-03-30
2937,Thalhof,2938,Meran,373,300,1886-03-30,1886-03-31
2940,Thalhof,2941,Meran,373,300,1886-03-31,1886-04-01
2943,Thalhof,2944,Meran,373,300,1886-04-01,1886-04-02
2946,Thalhof,2947,Meran,373,300,1886-04-02,1886-04-03
2949,Thalhof,2950,Meran,373,300,1886-04-03,1886-04-04
2952,Thalhof,2953,Meran,373,300,1886-04-04,1886-04-05
2955,Thalhof,2956,Meran,373,300,1886-04-05,1886-04-06
2958,Thalhof,2959,Meran,373,300,1886-04-06,1886-04-07
2961,Thalhof,2962,Meran,373,300,1886-04-07,1886-04-08
2964,Thalhof,2965,Meran,373,300,1886-04-08,1886-04-09
2967,Thalhof,2968,Meran,373,300,1886-04-09,1886-04-10
4020,Thalhof,4021,Wiesbaden,616,300,1887-09-16,1887-09-17
4024,Thalhof,4025,Wiesbaden,616,300,1887-09-17,1887-09-18
4028,Thalhof,4029,Wiesbaden,616,300,1887-09-18,1887-09-19
4032,Thalhof,4033,Wiesbaden,616,300,1887-09-19,1887-09-20
4036,Thalhof,4037,Wiesbaden,616,300,1887-09-20,1887-09-21
4040,Thalhof,4041,Wiesbaden,616,300,1887-09-21,1887-09-22
4339,Wien,4340,Berlin,524,300,1888-04-04,1888-04-05
4388,Paris,4389,Wien,1036,300,1888-05-20,1888-05-21
4484,Dover,4485,Ostende,3142,300,1888-08-01,1888-08-02
4503,Ostende,4504,Brüssel,2949,300,1888-08-20,1888-08-21
4507,Baden-Baden,4508,Brüssel,363,300,1888-08-23,1888-08-24
4510,Baden-Baden,4511,Wien,604,300,1888-08-25,1888-08-26
5724,Wien,5725,Halle,482,300,1891-09-18,1891-09-19
5732,Halle,5733,Wien,482,300,1891-09-26,1891-09-27
6099,Venedig,6100,Semmering,361,300,1892-09-22,1892-09-23
6397,Pension Quisisana,6398,Wien,356,300,1893-03-01,1893-03-02
6399,Pension Quisisana,6400,Wien,356,300,1893-03-02,1893-03-03
6401,Pension Quisisana,6402,Wien,356,300,1893-03-03,1893-03-04
6403,Pension Quisisana,6404,Wien,356,300,1893-03-04,1893-03-05
6405,Pension Quisisana,6406,Wien,356,300,1893-03-05,1893-03-06
6407,Pension Quisisana,6408,Wien,356,300,1893-03-06,1893-03-07
6409,Pension Quisisana,6410,Wien,356,300,1893-03-07,1893-03-08
6411,Pension Quisisana,6412,Wien,356,300,1893-03-08,1893-03-09
6413,Pension Quisisana,6414,Wien,356,300,1893-03-09,1893-03-10
6415,Pension Quisisana,6416,Wien,356,300,1893-03-10,1893-03-11
6417,Pension Quisisana,6418,Wien,356,300,1893-03-11,1893-03-12
6748,Grillparzerstraße,6749,Dölsach,305,300,1893-08-22,1893-08-23
