desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long
Gross-Kanizsa,3,46.45347,16.99104
Bad Voeslau,7,47.96533,16.21359
Gmunden,9,47.91839,13.79933
Ischl,52,47.71109,13.61893
Aussee,18,47.60998,13.78243
Salzburg,70,47.79941,13.04399
Muenchen,56,48.13743,11.57549
Zuerich,13,47.36667,8.55
Luzern,14,47.05048,8.30635
Genf,5,46.20222,6.14569
Reichenhall,4,47.72947,12.87819
Innsbruck,32,47.26266,11.39454
Achensee,3,47.46556,11.70924
Ampezzothal,1,46.49056,12.17889
Landro,1,46.64944,12.35361
Lienz,7,46.8289,12.76903
Doellach,1,46.93333,12.55
Heiligenblut,3,47.03979,12.84345
Villach,16,46.61028,13.85583
Fusch,4,47.22729,12.82727
Veldes,2,46.36825,14.11005
Salzkammergut,1,47.75,13.5
Wien,100,48.20849,16.37208
Frankfurt am Main,13,50.11552,8.68417
Coblenz,1,50.35357,7.57883
Ems,2,50.33544,7.71369
Bonn,1,50.73438,7.09549
Koeln,4,50.93333,6.95
Amsterdam,6,52.37403,4.88969
Haag,3,52.07667,4.29861
Scheveningen,3,52.10461,4.27557
Mainz,3,49.98419,8.2791
Klagenfurt,9,46.62472,14.30528
Loretto,2,46.61667,14.25
Velden,4,46.61301,14.0413
Toblach,14,46.72878,12.22225
Cortina,6,46.5369,12.13903
Zell am See,5,47.32556,12.79444
Berchtesgaden,6,47.63236,13.00187
Koenigssee,5,47.55567,12.97802
Golling,2,47.6,13.16667
Lend,4,47.28075,13.02265
Gastein,3,47.11547,13.13467
Boeckstein,2,47.08333,13.11667
Nassfeld,1,47.05,13.05
Malnitzer Tauern,1,47.05,13.1
Obervellach,2,46.93667,13.20417
Winklern,1,46.87361,12.87472
Pasterze,1,47.1,12.7
Kals,2,47.01702,12.6583
Huben,1,46.93333,12.57306
Spital,7,47.66487,14.34014
Millstatt,2,46.80417,13.58056
Millstaettersee,2,46.79222,13.59194
Poertschach,5,46.63639,14.14639
Ragaz,6,47.00601,9.50266
Davos,3,46.80429,9.83723
Albulapass,1,46.584,9.839
Pontresina,11,46.4955,9.90126
St. Moritz,5,46.49937,9.84327
Morteratsch,2,46.45112,9.94077
Bernina,2,46.30994,10.08814
Poschiavo,1,46.32441,10.05823
Le Prese,4,46.29248,10.07844
Bolladore,2,46.325362,10.318463
Bormio,4,46.46717,10.37008
Stilfserjoch,2,46.53333,10.45
Spondinig,2,46.63368,10.6134
Meran,9,46.66817,11.15953
Bozen,34,46.49067,11.33982
Altmuenster,1,47.90219,13.76415
Pressburg,3,48.14816,17.10674
Fiume,7,45.32673,14.44241
Abbazia,5,45.33771,14.30515
Budapest,5,47.49801,19.03991
Reichenau,23,48.45704,14.34875
Kammer,1,47.36667,12.81667
Unterach,1,47.8,13.48333
Weissenbach,2,47.848.08009,13.5333316.22106
Arth,1,47.06337,8.52349
Rigi Kulm,2,47.0555,8.48447
Vitznau,2,47.01014,8.4842
Flueelen,2,46.90478,8.62396
Brunnen,4,46.9936,8.60538
Axenstein,2,46.98613,8.61619
Locarno,3,46.17086,8.79953
Isola Bella,1,45.89538,8.52708
Luino,1,46.00185,8.74512
Lugano,5,46.01008,8.96004
Porlezza,1,46.03714,9.12921
Menaggio,2,46.02075,9.23907
Bellagio,2,45.98772,9.26182
Cadenabbia,2,45.98861,9.23615
Tremezzo,1,45.98423,9.21613
Como,2,45.80079,9.08065
Mailand,12,45.46427,9.18951
Wiesbaden,5,50.08258,8.24932
Berlin,50,52.52437,13.41053
Dresden,10,51.05089,13.73832
Paris,3,48.85341,2.3488
London,9,51.50853,-0.12574
Brighton,3,50.82838,-0.13947
Portsmouth,1,50.79899,-1.09125
Ryde,1,50.72999,-1.1621
Ventnor,2,50.59449,-1.20672
Newport,2,50.70146,-1.29124
Cowes,1,50.76306,-1.29772
Isle of Wight,1,50.66667,-1.33333
Dover,1,51.12598, 1.31257
