,dates
0,1879-01-01
1,1879-01-02
2,1879-01-03
3,1879-01-04
4,1879-01-05
5,1879-01-06
6,1879-01-07
7,1879-01-08
8,1879-01-09
9,1879-01-10
10,1879-01-11
11,1879-01-12
12,1879-01-13
13,1879-01-14
14,1879-01-15
15,1879-01-16
16,1879-01-17
17,1879-01-18
18,1879-01-19
19,1879-01-20
20,1879-01-21
21,1879-01-22
22,1879-01-23
23,1879-01-24
24,1879-01-25
25,1879-01-26
26,1879-01-27
27,1879-01-28
28,1879-01-29
29,1879-01-30
30,1879-01-31
31,1879-02-01
32,1879-02-02
33,1879-02-03
34,1879-02-04
35,1879-02-05
36,1879-02-06
37,1879-02-07
38,1879-02-08
39,1879-02-09
40,1879-02-10
41,1879-02-11
42,1879-02-12
43,1879-02-13
44,1879-02-14
45,1879-02-15
46,1879-02-16
47,1879-02-17
48,1879-02-18
49,1879-02-19
50,1879-02-20
51,1879-02-21
52,1879-02-22
53,1879-02-23
54,1879-02-24
55,1879-02-25
56,1879-02-26
57,1879-02-27
58,1879-02-28
59,1879-03-01
60,1879-03-02
61,1879-03-03
62,1879-03-04
63,1879-03-05
64,1879-03-06
65,1879-03-07
66,1879-03-08
67,1879-03-09
68,1879-03-10
69,1879-03-11
70,1879-03-12
71,1879-03-13
72,1879-03-14
73,1879-03-15
74,1879-03-16
75,1879-03-17
76,1879-03-18
77,1879-03-19
78,1879-03-20
79,1879-03-21
80,1879-03-22
81,1879-03-23
82,1879-03-24
83,1879-03-25
84,1879-03-26
85,1879-03-27
86,1879-03-28
87,1879-03-29
88,1879-03-30
89,1879-03-31
90,1879-04-01
91,1879-04-02
92,1879-04-03
93,1879-04-04
94,1879-04-05
95,1879-04-06
96,1879-04-07
97,1879-04-08
98,1879-04-09
99,1879-04-10
100,1879-04-11
101,1879-04-12
102,1879-04-13
103,1879-04-14
104,1879-04-15
105,1879-04-16
106,1879-04-17
107,1879-04-18
108,1879-04-19
109,1879-04-20
110,1879-04-21
111,1879-04-22
112,1879-04-23
113,1879-04-24
114,1879-04-25
115,1879-04-26
116,1879-04-27
117,1879-04-28
118,1879-04-29
119,1879-04-30
120,1879-05-01
121,1879-05-02
122,1879-05-03
123,1879-05-04
124,1879-05-05
125,1879-05-06
126,1879-05-07
127,1879-05-08
128,1879-05-09
129,1879-05-10
130,1879-05-11
131,1879-05-12
132,1879-05-13
133,1879-05-14
134,1879-05-15
135,1879-05-16
136,1879-05-17
137,1879-05-18
138,1879-05-19
139,1879-05-20
140,1879-05-21
141,1879-05-22
142,1879-05-23
143,1879-05-24
144,1879-05-25
145,1879-05-26
146,1879-05-27
147,1879-05-28
148,1879-05-29
149,1879-05-30
150,1879-05-31
151,1879-06-01
152,1879-06-02
153,1879-06-03
154,1879-06-04
155,1879-06-05
156,1879-06-06
157,1879-06-07
158,1879-06-08
159,1879-06-09
160,1879-06-10
161,1879-06-11
162,1879-06-12
163,1879-06-13
164,1879-06-14
165,1879-06-15
166,1879-06-16
167,1879-06-17
168,1879-06-18
169,1879-06-19
170,1879-06-20
171,1879-06-21
172,1879-06-22
173,1879-06-23
174,1879-06-24
175,1879-06-25
176,1879-06-26
177,1879-06-27
178,1879-06-28
179,1879-06-29
180,1879-06-30
181,1879-07-01
182,1879-07-02
183,1879-07-03
184,1879-07-04
185,1879-07-05
186,1879-07-06
187,1879-07-07
188,1879-07-08
189,1879-07-09
190,1879-07-10
191,1879-07-11
192,1879-07-12
193,1879-07-13
194,1879-07-14
195,1879-07-15
196,1879-07-16
197,1879-07-17
198,1879-07-18
199,1879-07-19
200,1879-07-20
201,1879-07-21
202,1879-07-22
203,1879-07-23
204,1879-07-24
205,1879-07-25
206,1879-07-26
207,1879-07-27
208,1879-07-28
209,1879-07-29
210,1879-07-30
211,1879-07-31
212,1879-08-01
213,1879-08-02
214,1879-08-03
215,1879-08-04
216,1879-08-05
217,1879-08-06
218,1879-08-07
219,1879-08-08
220,1879-08-09
221,1879-08-10
222,1879-08-11
223,1879-08-12
224,1879-08-13
225,1879-08-14
226,1879-08-15
227,1879-08-16
228,1879-08-17
229,1879-08-18
230,1879-08-19
231,1879-08-20
232,1879-08-21
233,1879-08-22
234,1879-08-23
235,1879-08-24
236,1879-08-25
237,1879-08-26
238,1879-08-27
239,1879-08-28
240,1879-08-29
241,1879-08-30
242,1879-08-31
243,1879-09-01
244,1879-09-02
245,1879-09-03
246,1879-09-04
247,1879-09-05
248,1879-09-06
249,1879-09-07
250,1879-09-08
251,1879-09-09
252,1879-09-10
253,1879-09-11
254,1879-09-12
255,1879-09-13
256,1879-09-14
257,1879-09-15
258,1879-09-16
259,1879-09-17
260,1879-09-18
261,1879-09-19
262,1879-09-20
263,1879-09-21
264,1879-09-22
265,1879-09-23
266,1879-09-24
267,1879-09-25
268,1879-09-26
269,1879-09-27
270,1879-09-28
271,1879-09-29
272,1879-09-30
273,1879-10-01
274,1879-10-02
275,1879-10-03
276,1879-10-04
277,1879-10-05
278,1879-10-06
279,1879-10-07
280,1879-10-08
281,1879-10-09
282,1879-10-10
283,1879-10-11
284,1879-10-12
285,1879-10-13
286,1879-10-14
287,1879-10-15
288,1879-10-16
289,1879-10-17
290,1879-10-18
291,1879-10-19
292,1879-10-20
293,1879-10-21
294,1879-10-22
295,1879-10-23
296,1879-10-24
297,1879-10-25
298,1879-10-26
299,1879-10-27
300,1879-10-28
301,1879-10-29
302,1879-10-30
303,1879-10-31
304,1879-11-01
305,1879-11-02
306,1879-11-03
307,1879-11-04
308,1879-11-05
309,1879-11-06
310,1879-11-07
311,1879-11-08
312,1879-11-09
313,1879-11-10
314,1879-11-11
315,1879-11-12
316,1879-11-13
317,1879-11-14
318,1879-11-15
319,1879-11-16
320,1879-11-17
321,1879-11-18
322,1879-11-19
323,1879-11-20
324,1879-11-21
325,1879-11-22
326,1879-11-23
327,1879-11-24
328,1879-11-25
329,1879-11-26
330,1879-11-27
331,1879-11-28
332,1879-11-29
333,1879-11-30
334,1879-12-01
335,1879-12-02
336,1879-12-03
337,1879-12-04
338,1879-12-05
339,1879-12-06
340,1879-12-07
341,1879-12-08
342,1879-12-09
343,1879-12-10
344,1879-12-11
345,1879-12-12
346,1879-12-13
347,1879-12-14
348,1879-12-15
349,1879-12-16
350,1879-12-17
351,1879-12-18
352,1879-12-19
353,1879-12-20
354,1879-12-21
355,1879-12-22
356,1879-12-23
357,1879-12-24
358,1879-12-25
359,1879-12-26
360,1879-12-27
361,1879-12-28
362,1879-12-29
363,1879-12-30
364,1879-12-31
365,1880-01-01
366,1880-01-02
367,1880-01-03
368,1880-01-04
369,1880-01-05
370,1880-01-06
371,1880-01-07
372,1880-01-08
373,1880-01-09
374,1880-01-10
375,1880-01-11
376,1880-01-12
377,1880-01-13
378,1880-01-14
379,1880-01-15
380,1880-01-16
381,1880-01-17
382,1880-01-18
383,1880-01-19
384,1880-01-20
385,1880-01-21
386,1880-01-22
387,1880-01-23
388,1880-01-24
389,1880-01-25
390,1880-01-26
391,1880-01-27
392,1880-01-28
393,1880-01-29
394,1880-01-30
395,1880-01-31
396,1880-02-01
397,1880-02-02
398,1880-02-03
399,1880-02-04
400,1880-02-05
401,1880-02-06
402,1880-02-07
403,1880-02-08
404,1880-02-09
405,1880-02-10
406,1880-02-11
407,1880-02-12
408,1880-02-13
409,1880-02-14
410,1880-02-15
411,1880-02-16
412,1880-02-17
413,1880-02-18
414,1880-02-19
415,1880-02-20
416,1880-02-21
417,1880-02-22
418,1880-02-23
419,1880-02-24
420,1880-02-25
421,1880-02-26
422,1880-02-27
423,1880-02-28
424,1880-02-29
425,1880-03-01
426,1880-03-02
427,1880-03-03
428,1880-03-04
429,1880-03-05
430,1880-03-06
431,1880-03-07
432,1880-03-08
433,1880-03-09
434,1880-03-10
435,1880-03-11
436,1880-03-12
437,1880-03-13
438,1880-03-14
439,1880-03-15
440,1880-03-16
441,1880-03-17
442,1880-03-18
443,1880-03-19
444,1880-03-20
445,1880-03-21
446,1880-03-22
447,1880-03-23
448,1880-03-24
449,1880-03-25
450,1880-03-26
451,1880-03-27
452,1880-03-28
453,1880-03-29
454,1880-03-30
455,1880-03-31
456,1880-04-01
457,1880-04-02
458,1880-04-03
459,1880-04-04
460,1880-04-05
461,1880-04-06
462,1880-04-07
463,1880-04-08
464,1880-04-09
465,1880-04-10
466,1880-04-11
467,1880-04-12
468,1880-04-13
469,1880-04-14
470,1880-04-15
471,1880-04-16
472,1880-04-17
473,1880-04-18
474,1880-04-19
475,1880-04-20
476,1880-04-21
477,1880-04-22
478,1880-04-23
479,1880-04-24
480,1880-04-25
481,1880-04-26
482,1880-04-27
483,1880-04-28
484,1880-04-29
485,1880-04-30
486,1880-05-01
487,1880-05-02
488,1880-05-03
489,1880-05-04
490,1880-05-05
491,1880-05-06
492,1880-05-07
493,1880-05-08
494,1880-05-09
495,1880-05-10
496,1880-05-11
497,1880-05-12
498,1880-05-13
499,1880-05-14
500,1880-05-15
501,1880-05-16
502,1880-05-17
503,1880-05-18
504,1880-05-19
505,1880-05-20
506,1880-05-21
507,1880-05-22
508,1880-05-23
509,1880-05-24
510,1880-05-25
511,1880-05-26
512,1880-05-27
513,1880-05-28
514,1880-05-29
515,1880-05-30
516,1880-05-31
517,1880-06-01
518,1880-06-02
519,1880-06-03
520,1880-06-04
521,1880-06-05
522,1880-06-06
523,1880-06-07
524,1880-06-08
525,1880-06-09
526,1880-06-10
527,1880-06-11
528,1880-06-12
529,1880-06-13
530,1880-06-14
531,1880-06-15
532,1880-06-16
533,1880-06-17
534,1880-06-18
535,1880-06-19
536,1880-06-20
537,1880-06-21
538,1880-06-22
539,1880-06-23
540,1880-06-24
541,1880-06-25
542,1880-06-26
543,1880-06-27
544,1880-06-28
545,1880-06-29
546,1880-06-30
547,1880-07-01
548,1880-07-02
549,1880-07-03
550,1880-07-04
551,1880-07-05
552,1880-07-06
553,1880-07-07
554,1880-07-08
555,1880-07-09
556,1880-07-10
557,1880-07-11
558,1880-07-12
559,1880-07-13
560,1880-07-14
561,1880-07-15
562,1880-07-16
563,1880-07-17
564,1880-07-18
565,1880-07-19
566,1880-07-20
567,1880-07-21
568,1880-07-22
569,1880-07-23
570,1880-07-24
571,1880-07-25
572,1880-07-26
573,1880-07-27
574,1880-07-28
575,1880-07-29
