desc/placeName/__text,Anzahl,desc/location/geo/_lat,desc/location/geo/_long,desc/placeName/_ref
Groß-Kanizsa,3,46.45347,16.99104,http://www.geonames.org/3047679/
Bad Vöslau,7,47.96533,16.21359,http://www.geonames.org/2782043/
Gmunden,9,47.91839,13.79933,http://www.geonames.org/2778436/
Ischl,52,47.71109,13.61893,http://www.geonames.org/2782052/
Aussee,18,47.60998,13.78243,http://www.geonames.org/2782070/
Salzburg,70,47.79941,13.04399,http://www.geonames.org/2766824/
München,56,48.13743,11.57549,http://www.geonames.org/2867714/
Zürich,13,47.36667,8.55,http://www.geonames.org/2657896/
Luzern,14,47.05048,8.30635,http://www.geonames.org/2659811/
Genf,5,46.20222,6.14569,http://www.geonames.org/2660646/
Reichenhall,4,47.72947,12.87819,http://www.geonames.org/2953371/
Innsbruck,32,47.26266,11.39454,http://www.geonames.org/2775220/
Achensee,3,47.46556,11.70924,http://www.geonames.org/2783030/
Ampezzothal,1,46.49056,12.17889,http://www.geonames.org/3183104/
Landro,1,46.64944,12.35361,
Lienz,7,46.8289,12.76903,http://www.geonames.org/2772505/
Döllach,1,46.93333,12.55,
Heiligenblut,3,47.03979,12.84345,http://www.geonames.org/2776595/
Villach,16,46.61028,13.85583,http://www.geonames.org/2762372/
Fusch,4,47.22729,12.82727,http://www.geonames.org/2780799/
Veldes,2,46.36825,14.11005,http://www.geonames.org/3239103/
Salzkammergut,1,47.75,13.5,http://www.geonames.org/2766813/
Wien,100,48.20849,16.37208,http://www.geonames.org/2761369/
Frankfurt am Main,13,50.11552,8.68417,http://www.geonames.org/2925533/
Coblenz,1,50.35357,7.57883,http://www.geonames.org/2886946/
Ems,2,50.33544,7.71369,http://www.geonames.org/2953507/
Bonn,1,50.73438,7.09549,http://www.geonames.org/2946447/
Köln,4,50.93333,6.95,http://www.geonames.org/2886242/
Amsterdam,6,52.37403,4.88969,http://www.geonames.org/2759794/
Haag,3,52.07667,4.29861,http://www.geonames.org/2747373/
Scheveningen,3,52.10461,4.27557,http://www.geonames.org/2747599/
Mainz,3,49.98419,8.2791,http://www.geonames.org/2874225/
Klagenfurt,9,46.62472,14.30528,http://www.geonames.org/2774326/
Loretto,2,46.61667,14.25,http://www.geonames.org/2771920/
Velden,4,46.61301,14.0413,http://www.geonames.org/2762453/
Toblach,14,46.72878,12.22225,http://www.geonames.org/3177571/
Cortina,6,46.5369,12.13903,http://www.geonames.org/3177952/
Zell am See,5,47.32556,12.79444,http://www.geonames.org/2760634/
Berchtesgaden,6,47.63236,13.00187,http://www.geonames.org/2950881/
Königssee,5,47.55567,12.97802,http://www.geonames.org/2885777/
Golling,2,47.6,13.16667,http://www.geonames.org/2778361/
Lend,4,47.28075,13.02265,http://www.geonames.org/7872240/
Gastein,3,47.11547,13.13467,http://www.geonames.org/2782058/
Böckstein,2,47.08333,13.11667,http://www.geonames.org/2781649/
Nassfeld,1,47.05,13.05,http://www.geonames.org/2770925/
Malnitzer Tauern,1,47.05,13.1,
Obervellach,2,46.93667,13.20417,http://www.geonames.org/2769637/
Winklern,1,46.87361,12.87472,http://www.geonames.org/2761039/
Pasterze,1,47.1,12.7,
Kals,2,47.01702,12.6583,http://www.geonames.org/7872595/
Huben,1,46.93333,12.57306,http://www.geonames.org/2775455/
Spital,7,47.66487,14.34014,http://www.geonames.org/2764789/
Millstatt,2,46.80417,13.58056,http://www.geonames.org/2760380/
Millstättersee,2,46.79222,13.59194,http://www.geonames.org/2771583/
Pörtschach,5,46.63639,14.14639,http://www.geonames.org/2768497/
Ragaz,6,47.00601,9.50266,http://www.geonames.org/2661644/
Davos,3,46.80429,9.83723,http://www.geonames.org/2661039/
Albulapass,1,46.584,9.839,
Pontresina,11,46.4955,9.90126,http://www.geonames.org/2659172/
St. Moritz,5,46.49937,9.84327,http://www.geonames.org/2658813/
Morteratsch,2,46.45112,9.94077,http://www.geonames.org/2659578/
Bernina,2,46.30994,10.08814,http://www.geonames.org/6458851/
Poschiavo,1,46.32441,10.05823,http://www.geonames.org/2659165/
Le Prese,4,46.29248,10.07844,http://www.geonames.org/2659944/
Bolladore,2,46.325362,10.318463,
Bormio,4,46.46717,10.37008,http://www.geonames.org/3181730/
Stilfserjoch,2,46.53333,10.45,http://www.geonames.org/3166165/
Spondinig,2,46.63368,10.6134,http://www.geonames.org/3166233/
Meran,9,46.66817,11.15953,http://www.geonames.org/3173577/
Bozen,34,46.49067,11.33982,http://www.geonames.org/3181913/
Altmünster,1,47.90219,13.76415,http://www.geonames.org/2782627/
Preßburg,3,48.14816,17.10674,http://www.geonames.org/3060972/
Fiume,7,45.32673,14.44241,http://www.geonames.org/3191648/
Abbazia,5,45.33771,14.30515,http://www.geonames.org/3194099/
Budapest,5,47.49801,19.03991,http://www.geonames.org/3054643/
Reichenau,23,48.45704,14.34875,http://www.geonames.org/2767773/
Kammer,1,47.36667,12.81667,http://www.geonames.org/2774833/
Unterach,1,47.8,13.48333,http://www.geonames.org/2763144/
Weissenbach,2,47.848.08009,13.5333316.22106,http://www.geonames.org/2761618/http://www.geonames.org/2761613/
Arth,1,47.06337,8.52349,http://www.geonames.org/2661708/
Rigi Kulm,2,47.0555,8.48447,http://www.geonames.org/2660093/
Vitznau,2,47.01014,8.4842,http://www.geonames.org/2658107/
Flüelen,2,46.90478,8.62396,http://www.geonames.org/2660751/
Brunnen,4,46.9936,8.60538,http://www.geonames.org/2661368/
Axenstein,2,46.98613,8.61619,http://www.geonames.org/2661656/
Locarno,3,46.17086,8.79953,http://www.geonames.org/2659869/
Isola Bella,1,45.89538,8.52708,
Luino,1,46.00185,8.74512,http://www.geonames.org/3174483/
Lugano,5,46.01008,8.96004,http://www.geonames.org/2659836/
Porlezza,1,46.03714,9.12921,http://www.geonames.org/3170141/
Menaggio,2,46.02075,9.23907,http://www.geonames.org/3173598/
Bellagio,2,45.98772,9.26182,http://www.geonames.org/3182230/
Cadenabbia,2,45.98861,9.23615,http://www.geonames.org/6692284/
Tremezzo,1,45.98423,9.21613,http://www.geonames.org/3165252/
Como,2,45.80079,9.08065,http://www.geonames.org/3178229/
Mailand,12,45.46427,9.18951,http://www.geonames.org/3173435/
Wiesbaden,5,50.08258,8.24932,http://www.geonames.org/2809346/
Berlin,50,52.52437,13.41053,http://www.geonames.org/2950159/
Dresden,10,51.05089,13.73832,http://www.geonames.org/2935022/
Paris,3,48.85341,2.3488,http://www.geonames.org/2988507/
London,9,51.50853,-0.12574,http://www.geonames.org/2643743/
Brighton,3,50.82838,-0.13947,http://www.geonames.org/2654710/
Portsmouth,1,50.79899,-1.09125,http://www.geonames.org/2639996/
Ryde,1,50.72999,-1.1621,http://www.geonames.org/2638911/
Ventnor,2,50.59449,-1.20672,http://www.geonames.org/2634985/
Newport,2,50.70146,-1.29124,http://www.geonames.org/2641599/
